Trait,Condition
Colon_and_Rectal_Cancer,Rectal_Cancer
Rectal_Cancer,Colon_and_Rectal_Cancer
lower_grade_glioma_and_glioblastoma,Lower_Grade_Glioma
Lower_Grade_Glioma,lower_grade_glioma_and_glioblastoma
Anxiety_disorder,Generalized_Anxiety_Disorder
Generalized_Anxiety_Disorder,Anxiety_disorder
HIV_Resistance,Lung_Cancer
Lung_Cancer,HIV_Resistance
Lung_Cancer,Pancreatic_Cancer
Pancreatic_Cancer,Lung_Cancer
Thyroid_Cancer,Kidney_Papillary_Cell_Carcinoma
Kidney_Papillary_Cell_Carcinoma,Thyroid_Cancer
Type_1_Diabetes_Risk,Lung_Cancer
Lung_Cancer,Type_1_Diabetes_Risk
Lung_Cancer,Bladder_Cancer
Bladder_Cancer,Lung_Cancer
Cervical_Cancer,Lung_Cancer
Lung_Cancer,Cervical_Cancer
Lung_Cancer,Inflammatory_Disorders
Inflammatory_Disorders,Lung_Cancer
Type_1_Diabetes_Risk,Coronary_artery_disease
Coronary_artery_disease,Type_1_Diabetes_Risk
HIV_Resistance,Type_1_Diabetes_Risk
Type_1_Diabetes_Risk,HIV_Resistance
Cervical_Cancer,Bladder_Cancer
Bladder_Cancer,Cervical_Cancer
Breast_Cancer,Pancreatic_Cancer
Pancreatic_Cancer,Breast_Cancer
Endometriosis,Lung_Cancer
Lung_Cancer,Endometriosis
Inflammatory_Disorders,Type_1_Diabetes_Risk
Type_1_Diabetes_Risk,Inflammatory_Disorders
Lung_Cancer,Age
Lower_Grade_Glioma,Lung_Cancer
Lung_Cancer,Lower_Grade_Glioma
Cervical_Cancer,Pancreatic_Cancer
Pancreatic_Cancer,Cervical_Cancer
Pancreatic_Cancer,Bladder_Cancer
Bladder_Cancer,Pancreatic_Cancer
Type_1_Diabetes_Risk,Obesity
Obesity,Type_1_Diabetes_Risk
Pancreatic_Cancer,HIV_Resistance
HIV_Resistance,Pancreatic_Cancer
Lung_Cancer,Kidney_Papillary_Cell_Carcinoma
Kidney_Papillary_Cell_Carcinoma,Lung_Cancer
Lung_Cancer,Breast_Cancer
Breast_Cancer,Lung_Cancer
Lung_Cancer,Osteoarthritis
Osteoarthritis,Lung_Cancer
Breast_Cancer,HIV_Resistance
HIV_Resistance,Breast_Cancer
Inflammatory_Disorders,Asthma
Asthma,Inflammatory_Disorders
Thyroid_Cancer,Lung_Cancer
Lung_Cancer,Thyroid_Cancer
HIV_Resistance,Inflammatory_Disorders
Inflammatory_Disorders,HIV_Resistance
Type_1_Diabetes_Risk,Asthma
Asthma,Type_1_Diabetes_Risk
Lung_Cancer,Asthma
Asthma,Lung_Cancer
Cervical_Cancer,Breast_Cancer
Breast_Cancer,Cervical_Cancer
lower_grade_glioma_and_glioblastoma,Lung_Cancer
Lung_Cancer,lower_grade_glioma_and_glioblastoma
Lung_Cancer,Liver_Cancer
Liver_Cancer,Lung_Cancer
Generalized_Anxiety_Disorder,Substance_Use_Disorder
Substance_Use_Disorder,Generalized_Anxiety_Disorder
Lower_Grade_Glioma,Endometriosis
Endometriosis,Lower_Grade_Glioma
Post-Traumatic_Stress_Disorder,Anxiety_disorder
Anxiety_disorder,Post-Traumatic_Stress_Disorder
COVID-19,Susceptibility_to_Infections
Susceptibility_to_Infections,COVID-19
HIV_Resistance,Bladder_Cancer
Bladder_Cancer,HIV_Resistance
Coronary_artery_disease,Inflammatory_Disorders
Inflammatory_Disorders,Coronary_artery_disease
Chronic_kidney_disease,Coronary_artery_disease
Coronary_artery_disease,Chronic_kidney_disease
Lung_Cancer,Esophageal_Cancer
Esophageal_Cancer,Lung_Cancer
Breast_Cancer,Bladder_Cancer
Bladder_Cancer,Breast_Cancer
Kidney_Papillary_Cell_Carcinoma,Lower_Grade_Glioma
Lower_Grade_Glioma,Kidney_Papillary_Cell_Carcinoma
Lung_Cancer,Coronary_artery_disease
Coronary_artery_disease,Lung_Cancer
Inflammatory_Disorders,Chronic_kidney_disease
Chronic_kidney_disease,Inflammatory_Disorders
Endometriosis,Inflammatory_Disorders
Inflammatory_Disorders,Endometriosis
HIV_Resistance,Cervical_Cancer
Cervical_Cancer,HIV_Resistance
Type_1_Diabetes_Risk,Lupus_(Systemic_Lupus_Erythematosus)
Lupus_(Systemic_Lupus_Erythematosus),Type_1_Diabetes_Risk
Chronic_kidney_disease,Type_1_Diabetes_Risk
Type_1_Diabetes_Risk,Chronic_kidney_disease
Inflammatory_Disorders,Lupus_(Systemic_Lupus_Erythematosus)
Lupus_(Systemic_Lupus_Erythematosus),Inflammatory_Disorders
Lupus_(Systemic_Lupus_Erythematosus),Lung_Cancer
Lung_Cancer,Lupus_(Systemic_Lupus_Erythematosus)
Pancreatic_Cancer,Type_1_Diabetes_Risk
Type_1_Diabetes_Risk,Pancreatic_Cancer
lower_grade_glioma_and_glioblastoma,Kidney_Papillary_Cell_Carcinoma
Kidney_Papillary_Cell_Carcinoma,lower_grade_glioma_and_glioblastoma
Endometriosis,Type_1_Diabetes_Risk
Type_1_Diabetes_Risk,Endometriosis
lower_grade_glioma_and_glioblastoma,Endometriosis
Endometriosis,lower_grade_glioma_and_glioblastoma
Asthma,Lupus_(Systemic_Lupus_Erythematosus)
Lupus_(Systemic_Lupus_Erythematosus),Asthma
lower_grade_glioma_and_glioblastoma,Liver_Cancer
Liver_Cancer,lower_grade_glioma_and_glioblastoma
Susceptibility_to_Infections,Lupus_(Systemic_Lupus_Erythematosus)
Lupus_(Systemic_Lupus_Erythematosus),Susceptibility_to_Infections
Endometriosis,Kidney_Papillary_Cell_Carcinoma
Kidney_Papillary_Cell_Carcinoma,Endometriosis
Obesity,Age
Inflammatory_Disorders,Osteoarthritis
Osteoarthritis,Inflammatory_Disorders
Inflammatory_Disorders,Lower_Grade_Glioma
Lower_Grade_Glioma,Inflammatory_Disorders
Breast_Cancer,Age
Lupus_(Systemic_Lupus_Erythematosus),HIV_Resistance
HIV_Resistance,Lupus_(Systemic_Lupus_Erythematosus)
Osteoarthritis,Type_1_Diabetes_Risk
Type_1_Diabetes_Risk,Osteoarthritis
Liver_Cancer,Lower_Grade_Glioma
Lower_Grade_Glioma,Liver_Cancer
Esophageal_Cancer,Lower_Grade_Glioma
Lower_Grade_Glioma,Esophageal_Cancer
Type_1_Diabetes_Risk,Bladder_Cancer
Bladder_Cancer,Type_1_Diabetes_Risk
HIV_Resistance,Asthma
Asthma,HIV_Resistance
Bladder_Cancer,Endometriosis
Endometriosis,Bladder_Cancer
Large_B-cell_Lymphoma,Lung_Cancer
Lung_Cancer,Large_B-cell_Lymphoma
lower_grade_glioma_and_glioblastoma,Esophageal_Cancer
Esophageal_Cancer,lower_grade_glioma_and_glioblastoma
Pancreatic_Cancer,Age
Bladder_Cancer,Kidney_Papillary_Cell_Carcinoma
Kidney_Papillary_Cell_Carcinoma,Bladder_Cancer
Head_and_Neck_Cancer,lower_grade_glioma_and_glioblastoma
lower_grade_glioma_and_glioblastoma,Head_and_Neck_Cancer
Chronic_obstructive_pulmonary_disease_(COPD),Cystic_Fibrosis
Cystic_Fibrosis,Chronic_obstructive_pulmonary_disease_(COPD)
Osteoarthritis,Endometriosis
Endometriosis,Osteoarthritis
Thyroid_Cancer,Cervical_Cancer
Cervical_Cancer,Thyroid_Cancer
HIV_Resistance,Endometriosis
Endometriosis,HIV_Resistance
Bladder_Cancer,Lower_Grade_Glioma
Lower_Grade_Glioma,Bladder_Cancer
Kidney_Papillary_Cell_Carcinoma,Pancreatic_Cancer
Pancreatic_Cancer,Kidney_Papillary_Cell_Carcinoma
Endometriosis,Asthma
Asthma,Endometriosis
Lupus_(Systemic_Lupus_Erythematosus),COVID-19
COVID-19,Lupus_(Systemic_Lupus_Erythematosus)
Thyroid_Cancer,Bladder_Cancer
Bladder_Cancer,Thyroid_Cancer
Susceptibility_to_Infections,Inflammatory_Disorders
Inflammatory_Disorders,Susceptibility_to_Infections
Pancreatic_Cancer,Endometriosis
Endometriosis,Pancreatic_Cancer
Lower_Grade_Glioma,Thyroid_Cancer
Thyroid_Cancer,Lower_Grade_Glioma
Type_1_Diabetes_Risk,Cervical_Cancer
Cervical_Cancer,Type_1_Diabetes_Risk
Breast_Cancer,Type_1_Diabetes_Risk
Type_1_Diabetes_Risk,Breast_Cancer
Inflammatory_Disorders,lower_grade_glioma_and_glioblastoma
lower_grade_glioma_and_glioblastoma,Inflammatory_Disorders
Asthma,Crohns_Disease
Crohns_Disease,Asthma
Lower_Grade_Glioma,Osteoarthritis
Osteoarthritis,Lower_Grade_Glioma
Pancreatic_Cancer,Thyroid_Cancer
Thyroid_Cancer,Pancreatic_Cancer
Osteoarthritis,Coronary_artery_disease
Coronary_artery_disease,Osteoarthritis
Osteoarthritis,Bladder_Cancer
Bladder_Cancer,Osteoarthritis
Lung_Cancer,Chronic_kidney_disease
Chronic_kidney_disease,Lung_Cancer
Lower_Grade_Glioma,HIV_Resistance
HIV_Resistance,Lower_Grade_Glioma
Susceptibility_to_Infections,Sjögrens_Syndrome
Sjögrens_Syndrome,Susceptibility_to_Infections
Coronary_artery_disease,Asthma
Asthma,Coronary_artery_disease
Obesity,Lung_Cancer
Lung_Cancer,Obesity
HIV_Resistance,Osteoarthritis
Osteoarthritis,HIV_Resistance
Inflammatory_Disorders,COVID-19
COVID-19,Inflammatory_Disorders
Liver_Cancer,Bladder_Cancer
Bladder_Cancer,Liver_Cancer
Susceptibility_to_Infections,Chronic_obstructive_pulmonary_disease_(COPD)
Chronic_obstructive_pulmonary_disease_(COPD),Susceptibility_to_Infections
Pancreatic_Cancer,Osteoarthritis
Osteoarthritis,Pancreatic_Cancer
Kidney_Papillary_Cell_Carcinoma,Inflammatory_Disorders
Inflammatory_Disorders,Kidney_Papillary_Cell_Carcinoma
Esophageal_Cancer,Bladder_Cancer
Bladder_Cancer,Esophageal_Cancer
Asthma,COVID-19
COVID-19,Asthma
Coronary_artery_disease,Endometriosis
Endometriosis,Coronary_artery_disease
Asthma,Osteoarthritis
Osteoarthritis,Asthma
Type_1_Diabetes_Risk,Lower_Grade_Glioma
Lower_Grade_Glioma,Type_1_Diabetes_Risk
Endometriosis,Chronic_kidney_disease
Chronic_kidney_disease,Endometriosis
Chronic_kidney_disease,Gender
Cervical_Cancer,Osteoarthritis
Osteoarthritis,Cervical_Cancer
Kidney_Papillary_Cell_Carcinoma,Cervical_Cancer
Cervical_Cancer,Kidney_Papillary_Cell_Carcinoma
Endometriosis,Cervical_Cancer
Cervical_Cancer,Endometriosis
Endometriosis,Lupus_(Systemic_Lupus_Erythematosus)
Lupus_(Systemic_Lupus_Erythematosus),Endometriosis
Lupus_(Systemic_Lupus_Erythematosus),Coronary_artery_disease
Coronary_artery_disease,Lupus_(Systemic_Lupus_Erythematosus)
Obesity,HIV_Resistance
HIV_Resistance,Obesity
Pancreatic_Cancer,Inflammatory_Disorders
Inflammatory_Disorders,Pancreatic_Cancer
Lower_Grade_Glioma,Large_B-cell_Lymphoma
Large_B-cell_Lymphoma,Lower_Grade_Glioma
Thyroid_Cancer,Endometriosis
Endometriosis,Thyroid_Cancer
Esophageal_Cancer,Liver_Cancer
Liver_Cancer,Esophageal_Cancer
Crohns_Disease,Inflammatory_Disorders
Inflammatory_Disorders,Crohns_Disease
Lower_Grade_Glioma,Chronic_kidney_disease
Chronic_kidney_disease,Lower_Grade_Glioma
Susceptibility_to_Infections,Asthma
Asthma,Susceptibility_to_Infections
lower_grade_glioma_and_glioblastoma,Large_B-cell_Lymphoma
Large_B-cell_Lymphoma,lower_grade_glioma_and_glioblastoma
Cervical_Cancer,Liver_Cancer
Liver_Cancer,Cervical_Cancer
Coronary_artery_disease,HIV_Resistance
HIV_Resistance,Coronary_artery_disease
Cervical_Cancer,Lower_Grade_Glioma
Lower_Grade_Glioma,Cervical_Cancer
Lower_Grade_Glioma,Pancreatic_Cancer
Pancreatic_Cancer,Lower_Grade_Glioma
Lower_Grade_Glioma,Head_and_Neck_Cancer
Post-Traumatic_Stress_Disorder,Substance_Use_Disorder
Head_and_Neck_Cancer,Lower_Grade_Glioma
Substance_Use_Disorder,Post-Traumatic_Stress_Disorder
Cervical_Cancer,Esophageal_Cancer
Esophageal_Cancer,Cervical_Cancer
Kidney_Papillary_Cell_Carcinoma,HIV_Resistance
HIV_Resistance,Kidney_Papillary_Cell_Carcinoma
Obesity,Inflammatory_Disorders
Inflammatory_Disorders,Obesity
Crohns_Disease,Type_1_Diabetes_Risk
Type_1_Diabetes_Risk,Crohns_Disease
Crohns_Disease,Susceptibility_to_Infections
Susceptibility_to_Infections,Crohns_Disease
Kidney_Papillary_Cell_Carcinoma,Esophageal_Cancer
Esophageal_Cancer,Kidney_Papillary_Cell_Carcinoma
lower_grade_glioma_and_glioblastoma,Thyroid_Cancer
Thyroid_Cancer,lower_grade_glioma_and_glioblastoma
Crohns_Disease,Lupus_(Systemic_Lupus_Erythematosus)
Lupus_(Systemic_Lupus_Erythematosus),Crohns_Disease
Bladder_Cancer,Age
